date,country,daily_cases,daily_deaths,continent,year,month,month_name
2020-03-01,South Africa,11335,431,Africa,2020,3,Mar 2020
2020-03-08,South Africa,11159,405,Africa,2020,3,Mar 2020
2020-03-15,South Africa,12847,458,Africa,2020,3,Mar 2020
2020-03-22,South Africa,14663,529,Africa,2020,3,Mar 2020
2020-03-29,South Africa,13069,384,Africa,2020,3,Mar 2020
2020-04-05,South Africa,13768,488,Africa,2020,4,Apr 2020
2020-04-12,South Africa,16831,598,Africa,2020,4,Apr 2020
2020-04-19,South Africa,16485,497,Africa,2020,4,Apr 2020
2020-04-26,South Africa,15588,694,Africa,2020,4,Apr 2020
2020-05-03,South Africa,17613,640,Africa,2020,5,May 2020
2020-05-10,South Africa,17010,473,Africa,2020,5,May 2020
2020-05-17,South Africa,17704,659,Africa,2020,5,May 2020
2020-05-24,South Africa,19310,570,Africa,2020,5,May 2020
2020-05-31,South Africa,17181,653,Africa,2020,5,May 2020
2020-06-07,South Africa,18081,717,Africa,2020,6,Jun 2020
2020-06-14,South Africa,20227,615,Africa,2020,6,Jun 2020
2020-06-21,South Africa,20252,773,Africa,2020,6,Jun 2020
2020-06-28,South Africa,22562,803,Africa,2020,6,Jun 2020
2020-07-05,South Africa,21528,804,Africa,2020,7,Jul 2020
2020-07-12,South Africa,21395,895,Africa,2020,7,Jul 2020
2020-07-19,South Africa,25624,849,Africa,2020,7,Jul 2020
2020-07-26,South Africa,23875,745,Africa,2020,7,Jul 2020
2020-08-02,South Africa,24666,760,Africa,2020,8,Aug 2020
2020-08-09,South Africa,23093,713,Africa,2020,8,Aug 2020
2020-08-16,South Africa,24562,828,Africa,2020,8,Aug 2020
2020-08-23,South Africa,25692,903,Africa,2020,8,Aug 2020
2020-08-30,South Africa,24284,850,Africa,2020,8,Aug 2020
2020-09-06,South Africa,26453,972,Africa,2020,9,Sep 2020
2020-09-13,South Africa,25321,862,Africa,2020,9,Sep 2020
2020-09-20,South Africa,25812,1006,Africa,2020,9,Sep 2020
2020-09-27,South Africa,25450,841,Africa,2020,9,Sep 2020
2020-10-04,South Africa,28634,1214,Africa,2020,10,Oct 2020
2020-10-11,South Africa,26156,944,Africa,2020,10,Oct 2020
2020-10-18,South Africa,24702,764,Africa,2020,10,Oct 2020
